Date,All,O+,O-,B+,B-,A+,A-,AB+,AB-
07/24/18,40,12,1,7,0,14,0,6,0
07/25/18,60,10,0,20,1,23,0,6,0
07/26/18,50,13,0,15,0,14,0,8,0
07/27/18,48,13,0,15,0,14,0,6,0
07/28/18,66,17,0,17,0,23,0,9,0
07/29/18,41,9,0,11,0,15,0,6,0
07/30/18,69,19,0,14,0,28,0,8,0
07/31/18,65,20,0,18,0,21,0,6,0
8/1/2018,41,14,0,12,0,10,0,5,0
8/2/2018,31,2,0,13,0,14,0,2,0
8/3/2018,67,15,0,21,0,25,0,6,0
8/4/2018,55,13,0,20,0,18,0,4,0
8/5/2018,44,11,0,17,0,13,0,3,0
8/6/2018,45,10,0,16,0,13,0,6,0
8/7/2018,76,19,0,22,0,23,0,12,0
8/8/2018,51,12,0,18,0,19,0,2,0
8/9/2018,54,15,0,17,0,15,0,7,0
8/10/2018,60,22,0,18,0,14,0,6,0
8/11/2018,37,7,0,14,0,14,0,2,0
8/12/2018,39,10,0,13,0,13,0,3,0
08/13/18,34,7,0,9,0,16,0,2,0
08/14/18,50,11,0,19,0,16,0,4,0
08/15/18,64,26,0,12,0,18,0,8,0
08/16/18,69,17,0,20,0,18,1,13,0
08/17/18,70,10,1,25,0,28,0,6,0
08/18/18,47,14,0,10,0,18,0,5,0
08/19/18,32,7,0,10,0,12,0,3,0
08/20/18,45,13,0,17,0,11,0,4,0
08/21/18,77,28,0,21,0,22,0,6,0
08/22/18,29,2,0,13,0,11,0,3,0
08/23/18,42,15,0,16,0,9,0,2,0
08/24/18,36,12,0,15,0,8,0,1,0
08/25/18,33,8,0,9,0,7,0,9,0
08/26/18,42,7,0,14,1,17,0,3,0
08/27/18,31,10,0,10,0,7,1,3,0
08/28/18,73,22,0,16,2,21,0,12,0
08/29/18,53,16,0,17,0,14,0,6,0
08/30/18,70,19,0,20,0,27,0,4,0
8/31/2018,35,12,0,11,0,8,0,4,0
9/1/2018,38,12,0,13,0,12,0,1,0
9/2/2018,48,15,0,10,0,16,0,7,0
9/3/2018,72,24,0,21,0,20,0,7,0
9/4/2018,62,17,0,15,1,20,0,9,0
9/5/2018,60,15,0,17,0,18,0,10,0
9/6/2018,64,12,0,24,0,22,0,6,0
9/7/2018,61,18,0,16,0,18,0,9,0
9/8/2018,57,16,0,19,0,13,0,9,0
9/9/2018,41,12,0,13,0,13,0,3,0
9/10/2018,67,11,0,22,0,29,0,5,0
9/11/2018,65,21,0,13,0,27,0,4,0
09/12/18,76,17,0,23,0,27,0,9,0
09/13/18,73,22,0,16,0,26,0,9,0
09/14/18,59,19,0,13,1,14,0,12,0
09/15/18,58,18,0,13,0,17,0,10,0
09/16/18,36,10,0,9,0,12,0,5,0
09/17/18,52,12,0,19,0,14,0,7,0
09/18/18,79,19,0,20,0,31,0,9,0
09/19/18,38,12,0,11,0,12,0,3,0
09/20/18,43,10,0,11,0,16,0,6,0
09/21/18,49,11,0,19,0,12,0,7,0
09/22/18,60,14,0,23,0,18,0,5,0
09/23/18,30,6,1,7,0,7,0,9,0
09/24/18,60,12,0,19,0,17,0,12,0
09/25/18,68,18,0,24,0,21,0,5,0
09/26/18,40,8,0,17,0,9,0,6,0
09/27/18,60,17,0,15,0,20,0,8,0
09/28/18,35,5,1,17,0,7,0,5,0
09/29/18,40,15,0,10,0,11,0,4,0
09/30/18,76,20,0,24,0,22,0,10,0
10/1/2018,39,12,0,14,0,8,0,5,0
10/2/2018,50,10,0,18,0,15,0,7,0
10/3/2018,45,17,0,13,0,10,0,5,0
10/4/2018,33,11,0,6,0,10,0,6,0
10/5/2018,59,21,0,17,0,17,1,3,0
10/6/2018,52,9,0,16,0,22,0,5,0
10/7/2018,40,15,0,12,0,10,0,2,1
10/8/2018,66,20,0,15,1,22,0,8,0
10/9/2018,31,6,0,11,0,11,0,3,0
10/10/2018,52,15,0,19,0,14,0,4,0
10/11/2018,51,14,0,10,1,17,0,9,0
10/12/2018,40,12,0,7,0,13,0,8,0
10/13/18,47,15,0,16,0,12,0,4,0
10/14/18,69,20,0,22,0,24,0,3,0
10/15/18,48,16,0,14,0,15,1,2,0
10/16/18,30,6,0,12,0,9,0,3,0
10/17/18,77,26,0,25,1,14,0,11,0
10/18/18,43,13,0,9,0,16,0,5,0
10/19/18,53,16,0,18,0,13,0,6,0
10/20/18,57,21,0,14,0,16,0,6,0
10/21/18,57,17,0,21,0,14,0,5,0
10/22/18,75,13,0,24,0,30,0,8,0
10/23/18,65,20,1,17,0,20,0,7,0
10/24/18,32,8,0,8,0,13,0,3,0
10/25/18,78,20,0,28,0,21,0,9,0
10/26/18,79,21,0,25,0,21,0,12,0
10/27/18,70,22,0,20,0,21,0,7,0
10/28/18,34,11,0,7,0,13,0,3,0
10/29/18,33,7,0,14,0,9,0,3,0
10/30/18,32,7,0,8,0,13,0,4,0
10/31/2018,31,8,0,6,0,15,0,2,0
11/1/2018,43,15,0,11,0,9,0,8,0
11/2/2018,76,20,0,27,0,21,0,8,0
11/3/2018,69,19,0,18,0,27,1,4,0
11/4/2018,70,20,0,24,0,17,0,9,0
11/5/2018,28,6,0,7,0,14,0,1,0
11/6/2018,68,17,0,17,0,25,0,9,0
11/7/2018,32,7,0,8,0,13,0,4,0
11/8/2018,65,13,0,25,0,18,0,9,0
11/9/2018,40,14,0,11,0,12,0,3,0
11/10/2018,30,5,0,11,0,12,0,2,0
11/11/2018,64,15,0,23,0,18,0,8,0
11/12/18,78,23,0,22,0,24,0,9,0
11/13/18,47,9,0,17,0,16,0,5,0
11/14/18,52,14,0,17,0,11,0,10,0
11/15/18,45,8,0,13,0,17,0,7,0
11/16/18,73,16,0,22,0,30,0,5,0
11/17/18,72,22,1,20,0,24,0,5,0
11/18/18,59,17,0,21,0,19,0,2,0
11/19/18,48,14,0,14,0,11,0,9,0
11/20/18,51,10,0,17,0,16,0,8,0
11/21/18,62,20,0,13,0,22,0,7,0
